month,handgun,long_gun,multiple
2012-01-01,402183.0,431649.0,15936
2012-02-01,568133.0,555414.0,24046
2012-03-01,535661.0,556028.0,17925
2012-04-01,416260.0,438214.0,14576
2012-05-01,376246.0,384767.0,13467
2012-06-01,370436.0,389413.0,13853
2012-07-01,377343.0,393993.0,14094
2012-08-01,426573.0,510406.0,17560
2012-09-01,389994.0,521050.0,16859
2012-10-01,410260.0,597561.0,18390
2012-11-01,533201.0,863265.0,25126
2012-12-01,876673.0,1224465.0,38438
2013-01-01,881038.0,788328.0,31029
2013-02-01,770872.0,703223.0,31163
2013-03-01,683266.0,700873.0,23878
2013-04-01,533674.0,554003.0,18624
2013-05-01,445522.0,436674.0,16057
2013-06-01,394363.0,392866.0,14526
2013-07-01,391016.0,376846.0,14339
2013-08-01,428058.0,497092.0,17092
2013-09-01,413380.0,523292.0,16018
2013-10-01,422005.0,578973.0,17954
2013-11-01,458889.0,732270.0,19436
2013-12-01,565419.0,844358.0,21244
2014-01-01,439383.0,430930.0,15871
2014-02-01,633688.0,470225.0,26496
2014-03-01,629802.0,482924.0,19790
2014-04-01,508468.0,382976.0,16528
2014-05-01,454630.0,323738.0,16045
2014-06-01,410871.0,304023.0,14167
2014-07-01,408767.0,310767.0,15073
2014-08-01,460119.0,416385.0,17986
2014-09-01,452702.0,461827.0,18390
2014-10-01,512279.0,535601.0,20141
2014-11-01,548303.0,662356.0,20957
2014-12-01,740231.0,761619.0,24031
2015-01-01,543627.0,394539.0,18209
2015-02-01,677197.0,448579.0,25757
2015-03-01,631154.0,446107.0,19582
2015-04-01,525804.0,361842.0,16521
2015-05-01,500558.0,320023.0,15791
2015-06-01,483021.0,305401.0,15133
2015-07-01,513206.0,325206.0,16726
2015-08-01,514414.0,409417.0,17786
2015-09-01,506877.0,446564.0,19352
2015-10-01,564873.0,511525.0,20444
2015-11-01,671330.0,636903.0,23015
2015-12-01,1201747.0,873335.0,34059
2016-01-01,789552.0,449324.0,20985
2016-02-01,848215.0,468229.0,28741
2016-03-01,736630.0,430837.0,20547
2016-04-01,613965.0,385241.0,18185
2016-05-01,512406.0,315716.0,15726
2016-06-01,582821.0,423697.0,20854
2016-07-01,628725.0,440345.0,21420
2016-08-01,611575.0,471095.0,20452
2016-09-01,533709.0,486524.0,19800
2016-10-01,634504.0,576371.0,22101
2016-11-01,748430.0,745659.0,25369
2016-12-01,844966.0,795473.0,23543
2017-01-01,562597.0,366099.0,15817
2017-02-01,717930.0,421678.0,26698
2017-03-01,751866.0,461273.0,22396
2017-04-01,623448.0,376484.0,18813
2017-05-01,552018.0,328157.0,16969
2017-06-01,569149.0,331152.0,17076
2017-07-01,480124.0,322264.0,15721
2017-08-01,507489.0,396950.0,18261
2017-09-01,478082.0,417305.0,17638
2017-10-01,519980.0,480203.0,18920
2017-11-01,680029.0,635407.0,24403
2017-12-01,784267.0,697785.0,23455
2018-01-01,501638.0,337597.0,15732
2018-02-01,661699.0,434373.0,26554
2018-03-01,781452.0,540979.0,26890
2018-04-01,563601.0,375946.0,19349
2018-05-01,488120.0,300466.0,16437
2018-06-01,474159.0,291522.0,23823
2018-07-01,436969.0,276793.0,14973
2018-08-01,478723.0,361705.0,17149
2018-09-01,434660.0,370532.0,16410
2018-10-01,460017.0,417788.0,18020
2018-11-01,582708.0,568336.0,38028
2018-12-01,712365.0,640496.0,23723
2019-01-01,514319.0,345768.0,17326
2019-02-01,601380.0,355744.0,23882
2019-03-01,727226.0,435698.0,24825
2019-04-01,536754.0,334097.0,18511
2019-05-01,491319.0,291121.0,21465
2019-06-01,492915.0,291049.0,23773
2019-07-01,444568.0,267906.0,15131
2019-08-01,573323.0,390432.0,21020
2019-09-01,486169.0,398239.0,18923
2019-10-01,516978.0,451337.0,20275
2019-11-01,637123.0,557445.0,25408
2019-12-01,780093.0,625462.0,25985
2020-01-01,643323.0,380300.0,20352
2020-02-01,719327.0,400040.0,26769
2020-03-01,1392677.0,758073.0,57328
2020-04-01,984872.0,508122.0,34779
2020-05-01,955275.0,485131.0,29010
2020-06-01,1371811.0,625791.0,39977
2020-07-01,1120768.0,557716.0,33394
2020-08-01,951623.0,579238.0,28316
2020-09-01,880168.0,599658.0,27534
2020-10-01,935918.0,666613.0,29759
2020-11-01,975298.0,801156.0,34858
2020-12-01,966461.0,771026.0,31738
2021-01-01,1124621.0,713492.0,38138
2021-02-01,761744.0,466005.0,24462
