created_at,text,retweets,likes
Wed Mar 10 16:42:11 +0000 2021,FYI https://t.co/GqA01FQ9L4,1,12
Wed Mar 10 16:42:11 +0000 2021,"I'm turning off the tweets for now to reduce the noise. Tens of thousands of appts are available all over the state

https://t.co/WsKB1VEtAn",47,197
Wed Mar 10 16:00:12 +0000 2021,"[NYS Dept. of Health · Queens] Aqueduct Racetrack: 26137 appts

Apr 26 – 8:00AM-6:30PM
Apr 27 – 8:00AM-6:30PM
Apr 28 – 8:00AM-6:30PM
+ 33 more days

https://t.co/rpNlvKMeLw",20,18
Wed Mar 10 16:00:11 +0000 2021,"[NYS Dept. of Health · Manhattan] Javits Center (Daytime): 33343 appts

Apr 27 – 8:00AM-6:30PM
Apr 28 – 8:00AM-6:30PM
Apr 29 – 8:00AM-6:30PM
+ 32 more days

https://t.co/rpNlvKMeLw",59,64
Wed Mar 10 13:25:36 +0000 2021,"The NYS site is having some trouble dealing with the influx of 60+ traffic. Patience is key. When you get past the virtual waiting room, do not select the one first few days because the site sometimes shows phantom availability. Scroll to something like later (like in April)",11,104
Wed Mar 10 13:25:36 +0000 2021,"Do I have your attention now?

1) Stop Asian Hate
2) Remember to hit one of the tip jars below
https://t.co/fr8LnXLq8X
https://t.co/lww2w8fgp8",95,528
Wed Mar 10 12:55:25 +0000 2021,"[NYS Dept. of Health · Queens] Aqueduct Racetrack: 33887 appts

Mar 10 – 8:15AM-6:30PM
Mar 12 – 8:00AM-6:30PM
Mar 14 – 8:00AM-6:30PM
+ 58 more days

https://t.co/rpNlvKMeLw",33,52
Wed Mar 10 12:55:25 +0000 2021,"[NYS Dept. of Health · Manhattan] Javits Center (Daytime): 45055 appts

Mar 10 – 8:15AM-7:30PM
Mar 28 – 8:00AM-7:30PM
Mar 29 – 8:00AM-7:30PM
+ 48 more days

https://t.co/rpNlvKMeLw",106,155
Wed Mar 10 12:45:24 +0000 2021,"[NYC H+H · Queens] Queens Hospital: 31 appts

Mar 10 – 8:00AM, 8:20AM, 8:30AM + 28

https://t.co/iVRnr1hjSf",7,18
Wed Mar 10 06:07:28 +0000 2021,"[NYC H+H · Manhattan] Harlem Hospital: 32 appts

Mar 11 – 7:00AM, 7:20AM, 7:30AM + 29

https://t.co/iVRnr1hjSf",12,27
Wed Mar 10 06:07:27 +0000 2021,"[NYC H+H · Queens] Elmhurst Hospital: 38 appts

Mar 10 – 12:15PM
Mar 11 – 7:45AM, 8:00AM, 8:15AM + 34

https://t.co/iVRnr1hjSf",2,6
Wed Mar 10 00:37:14 +0000 2021,"[NYC Vaccine Hub · Queens] HSS at Martin Van Buren HS: 47 appts

Mar 10 – 8:00AM, 8:10AM, 8:20AM + 44

https://t.co/jQDJPwNCK4",13,29
Tue Mar 09 23:00:30 +0000 2021,"[NYC Vaccine Hub · Manhattan] East Harlem Action Heath Center: 105 appts

Mar 10 – 9:00AM, 9:10AM, 9:20AM + 30
Mar 11 – 9:20AM, 9:30AM, 9:40AM + 16
Mar 12 – 9:00AM, 9:10AM, 9:20AM + 28
+ 1 more day

https://t.co/jQDJPwNCK4",9,21
Tue Mar 09 22:49:44 +0000 2021,"[NYC Vaccine Hub · Manhattan] Hospital for Special Surgery: 78 appts

Mar 10 – 1:00PM, 1:10PM, 1:20PM + 33
Mar 12 – 7:00AM, 7:10AM, 7:20AM + 39

https://t.co/jQDJPwNCK4",17,42
Tue Mar 09 21:59:07 +0000 2021,"[NYC H+H · Queens] Queens Hospital: 139 appts

Mar 10 – 7:20AM, 7:40AM, 8:20AM + 20
Mar 11 – 7:00AM, 7:20AM, 7:40AM + 26
Mar 12 – 7:00AM, 7:20AM, 7:40AM + 25
+ 2 more days

https://t.co/iVRnr1hjSf",13,37
Tue Mar 09 17:01:20 +0000 2021,"[NYC H+H · Brooklyn] Brooklyn Army Terminal: 33 appts

Mar 9 – 1:45PM, 2:00PM, 2:15PM + 30

https://t.co/iVRnr1hjSf",13,29
Tue Mar 09 16:49:31 +0000 2021,"[NYC H+H · Bronx] Lincoln Hospital: 25 appts

Mar 10 – 8:45AM, 9:45AM, 10:45AM + 22

https://t.co/iVRnr1hjSf",6,16
Tue Mar 09 16:36:45 +0000 2021,"TurboVax is only hooked up to the big gov't-run mass vaccination sites. As more pharmacies, clinics and private hospitals start to offer shots, this tool will only become less useful. That's something we should all look forward to",9,122
Tue Mar 09 16:36:45 +0000 2021,"For those who are/will soon be eligible, I recommend following @nycshotslots for the latest updates. New vaccine sites seem to be opening up by the hour and Carolyn is always on top of it. It takes hard work to source and vet this kind of info!

https://t.co/9BbThFvzh5",87,216
Tue Mar 09 16:20:02 +0000 2021,"RT @bradhoylman: HUGE NEWS: New Yorkers age 60+ will be eligible for a COVID-19 vaccine starting tomorrow. 

If you are about to be eligibl…",178,0
Tue Mar 09 14:35:10 +0000 2021,"[NYC H+H · Queens] Elmhurst Hospital: 38 appts

Mar 10 – 7:15AM, 7:30AM, 7:45AM + 35

https://t.co/iVRnr1hjSf",8,30
Tue Mar 09 14:20:26 +0000 2021,"Looking at the screenshots, the Vax4NYC website doesn't mention anything about a Queens resident prioritization. This is bound to lead to some frustration. YMMV

https://t.co/oUVkKGenpk",1,23
Tue Mar 09 14:20:26 +0000 2021,"FYI if you are a non-Queens resident who picked up a Citi Field slot yesterday, you may be turned away

The new Vax4NYC website doesn't restrict people with ineligible zips from booking Citi Field appts. This was not the case on the old H+H site

https://t.co/xlgoLS2oWF",24,72
Tue Mar 09 06:03:07 +0000 2021,"[NYC H+H · Manhattan] Metropolitan Hospital: 25 appts

Mar 10 – 7:15AM, 7:30AM, 8:00AM + 22

https://t.co/iVRnr1hjSf",7,32
Tue Mar 09 05:07:00 +0000 2021,"[NYC H+H · Brooklyn] Kings County Hospital: 40 appts

Mar 16 – 7:00AM, 7:15AM, 7:30AM + 37

https://t.co/iVRnr1hjSf",15,40
Tue Mar 09 02:55:47 +0000 2021,"[NYC H+H · Brooklyn] Coney Island Hospital: 31 appts

Mar 12 – 3:30PM
Mar 13 – 8:00AM, 8:30AM, 9:15AM + 27

https://t.co/iVRnr1hjSf",16,44
Tue Mar 09 00:04:45 +0000 2021,"[NYC Vaccine Hub · Staten Island] Empire Outlets (S.I. residents only): 47 appts

Mar 12 – 11:15AM, 11:30AM, 11:45AM + 12
Mar 13 – 8:00AM, 8:15AM, 8:30AM + 29

https://t.co/jQDJPwNCK4",9,18
Mon Mar 08 23:05:50 +0000 2021,"[NYC Vaccine Hub · Bronx] Bathgate Contract Postal Station: 40 appts

Mar 9 – 2:00PM, 2:15PM, 2:30PM + 37

https://t.co/jQDJPwNCK4",16,22
Mon Mar 08 22:40:21 +0000 2021,"Many have messaged asking if Citi Field is still Queens-only. I wouldn't know so we'll need to wait for someone official to weigh in. As you can see in the screenshots there is currently no Queens-only qualifications

https://t.co/oUVkKGenpk",1,18
