"company","address","businessType","numberAffected","totalEmployees","union","noticeDate","closingDate","reasonDislocation","reason","url","location","longitude","latitude"
"Timeless Décor, LLC (LCO Destiny DBA Timeless Frames)","22419 Fisher Road, Watertown, NY 13601","A supplier of Picture Frames","45","81","The employees are not represented by a union.","12/24/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7048","22419 Fisher Rd, Watertown, NY 13601, USA",43.9902072,-75.9465098
"Barneys New York","575 5th Avenue, New York, NY 10017","Retail","165","165","New York New Jersey Regional Joint Board Workers United A/W SEIU","10/16/2019","December 31, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7047","575 5th Ave, New York, NY 10017, USA",40.7563205,-73.9782735
"General Parts Distribution, LLC d/b/a Carquest Auto Parts","215 Business Park Drive, Armonk, NY 10504","Auto parts distribution","80","80","Teamsters Local 202","9/18/2019","December 31, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7043","215 Business Park Dr, Armonk, NY 10504, USA",41.1118937,-73.7130307
"Somos Healthcare Providers, Inc.","519 Eighth Avenue, 14th Floor, New York, NY 10118","Community care and advocate community provider","130","130","The employees are not represented by a union.","10/7/2019","January 5, 2020","New York State contract expired","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7044","519 8th Ave 14th fl, New York, NY 10018, USA",40.7534105,-73.9930178
"Regeneron Healthcare Solutions, Inc., a wholly owned subsidiary of Regeneron Pharmaceuticals, Inc.","1 Rockwood Rd., Sleepy Hollow, NY 10591","Biotechnology company","15","-----","The employees are not represented by a union.","12/20/2019","-----","Termination of all field and supporting staff associated with one of their products.","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=7045","1 Rockwood Rd, Sleepy Hollow, NY 10591, USA",41.1110512,-73.8637008
"Spacious Technologies LLC subsidiary of WeWork Companies, LLC","134 Fifth Avenue, New York, NY 10011","Commercial real estate company","48","48","The employees are not represented by a union.","12/12/2019","March 11, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7042","134 5th Ave, New York, NY 10011, USA",40.7389372,-73.9919328
"WeWork Companies, Inc.","115 W 18th St., New York, NY 10011","Commercial real estate company","423","922 (total employees for all affected sites)","The employees are not represented by a union.","11/22/2019   (Amended","","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7041","115 W 18th St, New York, NY 10011, USA",40.740273,-73.9956879
"Eastman Kodak Company (Eastman Business Park)","1669 Lake Avenue, Rochester, NY 14650","Photographic equipment and Supplies","3","-----","The employees are not represented by a union.","12/17/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7040","1669 Lake Ave, Rochester, NY 14615, USA",43.1968638,-77.6303804
"Eastman Kodak Company (Kodak Office)","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","1","178","The employee is not represented by a union.","12/10/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7039","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"Eyeview, Inc.","33 East 33rd Street, 6th Floor, New York, NY 10016","Video marketing technology company","61","61","The employees are not represented by a union.","12/12/2019","12/31/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7038","33 E 33rd St 6th floor, New York, NY 10016, USA",40.7468506,-73.9826256
"Evolent Health LLC","519 8th Ave, Suite 14, New York, NY 10018","a company providing an integrated value-based care platform for the nations leading providers and payers","49","-----","The employees are not represented by a union.","12/12/2019","-----","Loss of contract with SOMOS Healthcare Providers. Inc.","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7033","519 8th Ave #14, New York, NY 10018, USA",40.7533306,-73.9930396
"HCL America, Inc.","800 Phillips Road, Webster, NY 14580","Leading global IT services company","16","217","The employees are not represented by a union.","12/10/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7034","800 Phillips Rd, Webster, NY 14580, USA",43.2228451,-77.4170792
"Eastman Kodak Company (Kodak Office)","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","1 (employee is a remote worker)","-----","The remote employee is not represented by a union.","11/19/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7036","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"PB&J Group, LLC (dba Candle 79)","154 East 79th Street, New York, NY 10075","Organic restaurant","48","48","The employees are not represented by a union.","9/30/2019","12/31/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7037","154 E 79th St, New York, NY 10075, USA",40.7746547,-73.9587248
"GBG USA Inc. (Global Brands Group)","Corporate Headquarters, 350 5th Ave","Apparel store offices","83","340","The employees are not represented by a union.","12/9/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7031","350 5th Ave # 4410, New York, NY 10118, USA",40.7484404,-73.9856554
"Catholic Guardian Services","140 Casals Place, Co-Op City, Apt. 21 H, Bronx, NY 10475","Human services non-profit organization with programs that help a large needy population in the New York metropolitan area.","34","174 (total employees at all sites)","United Food & Commercial Workers’ Union (UFCW) Local 888","9/9/2019","January 3, 2020","Discontinuation of operations","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7032","140 Casals Pl Apt 21b, The Bronx, NY 10475, USA",40.8783513,-73.8244122
"Castelli America, LLC","5151, 5152, 5183 Fairbanks Road and 5185 Route 474,, Harmony, New York 14710","Cheese manufacturer","68","68","The employees are not represented by a union.","12/11/2019","December 6, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7030","5152 Fairbanks Rd #5151, Ashville, NY 14710, USA",42.080346,-79.397809
"Gibsons Bar and Steakhouse (at the Polo Bar Ralph Lauren)","1 E. 55th Street, New York, NY 10022","Restaurant","156","156","The employees are not represented by a union.","12/6/2019","February 1, 2020","Gibsons Bar and Steakhouse is ceasing its operations at the Polo Bar Ralph Lauren.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7029","1 E 55th St, New York, NY 10022, USA",40.7617135,-73.9743749
"Brooks-TLC Hospital System, Inc., TLC Health Network Campus","845 Routes 5 & 20 (Main Road), Irving, NY 14081","Acute Care Hospital","201","201","1199 SEIU United Healthcare Workers East","12/5/2019","January 1, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7028","Main Rd, New York, USA",42.5273447,-79.173954
"GL&V USA, Inc. (Part of Valmet)","27 Allen Street, Hudson Falls, NY 12839","Paper mill machinery manufacturer","40","40","The employees are not represented by a union.","12/4/2019","December 31, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7022","27 Allen St, Hudson Falls, NY 12839, USA",43.293388,-73.5917097
"HCL America, Inc.","800 Phillips Road, Webster, NY 14580","Leading global IT services company","11","-----","The employees are not represented by a union.","11/27/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7023","800 Phillips Rd, Webster, NY 14580, USA",43.2228451,-77.4170792
"WeWork Companies, Inc.","115 W 18th St., New York, NY 10011","Commercial real estate company","414","911 (total employees for all affected sites)","The employees are not represented by a union.","11/22/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7024","115 W 18th St, New York, NY 10011, USA",40.740273,-73.9956879
"Crystal Run Health Plan, LLC (Phase 3)","109 Rykowski Lane, Middletown, NY 10941","Health Plans","4","18","The employees are not represented by a union.","12/6/2019","5/31/2022","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7025","109 Rykowski Ln, Middletown, NY 10941, USA",41.4512684,-74.3480251
"Quality Frozen Foods, Inc.","1663 62nd Street, Brooklyn, NY 11204","Wholesale grocer","82","82","Teamsters Local 707","12/5/2019","March 4, 2020","Sale of the business","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7026","1663 62nd St, Brooklyn, NY 11204, USA",40.6227568,-73.9911294
"KIK Custom Products","935 East Hiawatha Blvd., Syracuse, NY 13208","Packaging and labeling services","27","38","The employees are not represented by a union.","12/3/2019","-----","Significant reduction in production","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7021","935 Hiawatha Blvd, Syracuse, NY 13208, USA",43.08074,-76.1601419
"Icahn Capital L.P.","767 Fifth Avenue, New York, NY 10153","Private equity","3","27 (total affected employees at all sites)","The employees are not represented by a union.","12/3/2019","March 31, 2020","Relocating to Miami, Florida","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7020","767 5th Ave, New York, NY 10153, USA",40.7636433,-73.9726971
