word,times,first_date,last_date,first_president,last_president
'after,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'before,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'constitutional,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'd,1,2021-01-20,2021-01-20,Joseph R. Biden,Joseph R. Biden
'deliberately,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'despotism,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
'he,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
'heart,1,1945-01-20,1945-01-20,Franklin D. Roosevelt,Franklin D. Roosevelt
'highest,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
'how,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'hurry,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'incident,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
'less,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'll,4,1985-01-21,2021-01-20,Ronald Reagan,Joseph R. Biden
'lowest,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
'm,2,1981-01-20,2021-01-20,Ronald Reagan,Joseph R. Biden
'may,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'mine,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'monarchy,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
'most,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
'must,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'object,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
'of,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
'ordinances,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'protection,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
're,5,1981-01-20,2021-01-20,Ronald Reagan,Joseph R. Biden
