,year,on spotify?
0,2014,No
1,2018,No
2,2018,Yes
3,2020,No
4,2019,No
5,2020,Yes
6,2017,No
7,2020,No
8,2017,No
9,2013,Yes
10,2020,No
11,2017,Yes
12,2020,No
13,2020,Yes
14,2011,No
15,2013,No
16,2020,Yes
17,2014,No
18,2013,No
19,2017,No
20,2020,Yes
21,2016,Yes
22,2020,No
23,2019,No
24,2015,No
25,2019,No
26,2016,Yes
27,2017,No
28,2013,No
29,2019,Yes
30,2020,No
31,2020,Yes
32,2020,No
33,2021,No
34,2013,No
35,2014,No
36,2011,No
37,2011,Yes
38,2010,No
39,2019,No
40,2020,Yes
41,2019,Yes
42,2016,No
43,2016,No
44,2015,No
45,2020,No
46,2020,Yes
47,2014,No
48,2011,No
49,2013,No
50,2020,No
51,2015,No
52,2014,No
53,2012,No
54,2017,No
55,2015,No
56,2019,Yes
57,2018,No
58,2013,No
59,2016,Yes
60,2014,No
61,2014,No
62,2015,No
63,2019,No
64,2015,Yes
65,2012,No
66,2012,No
67,2021,Yes
68,2015,No
69,2010,Yes
70,2014,No
71,2016,No
72,2018,Yes
73,2015,No
74,2015,No
75,2020,No
76,2019,No
77,2014,No
78,2015,No
79,2018,No
80,2017,No
81,2018,No
82,2018,No
83,2020,No
84,2012,No
85,2011,No
86,2020,No
87,2019,No
88,2010,Yes
89,2013,No
90,2016,No
91,2013,No
92,2018,No
93,2020,Yes
94,2020,Yes
95,2013,Yes
96,2014,No
97,2019,Yes
98,2012,No
99,2019,Yes
100,2021,No
101,2013,No
102,2019,No
103,2016,No
104,2021,No
105,2020,No
106,2013,No
107,2012,No
108,2020,Yes
109,2013,No
110,2020,No
111,2016,No
112,2012,Yes
113,2014,Yes
114,2020,Yes
115,2017,No
116,2016,No
117,2019,No
118,2015,No
119,2016,No
120,2019,Yes
121,2017,No
122,2011,No
123,2013,No
124,2018,No
125,2021,No
126,2011,Yes
127,2011,No
128,2019,Yes
129,2012,No
130,2014,No
131,2012,Yes
132,2020,No
133,2016,No
134,2015,No
135,2012,No
136,2009,Yes
137,2012,No
138,2017,Yes
139,2013,No
140,2015,No
141,2011,No
142,2012,No
143,2016,No
144,2016,No
145,2015,No
146,2018,No
147,2020,Yes
148,2012,Yes
149,2014,Yes
150,2013,Yes
151,2010,No
152,2016,No
153,2017,No
154,2011,No
155,2016,Yes
156,2018,No
157,2013,No
158,2018,Yes
159,2018,No
160,2020,No
161,2012,Yes
162,2011,No
163,2014,Yes
164,2020,No
165,2017,No
166,2015,No
167,2020,No
168,2017,No
169,2013,No
170,2017,No
171,2020,No
172,2014,Yes
173,2019,No
174,2015,Yes
175,2015,No
176,2019,No
177,2020,No
178,2017,Yes
179,2012,No
180,2016,Yes
181,2017,No
182,2016,No
183,2013,No
184,2018,No
185,2012,No
186,2014,No
187,2018,No
188,2014,No
189,2017,No
190,2013,No
191,2011,No
192,2016,Yes
193,2016,No
194,2020,No
195,2018,Yes
196,2012,No
197,2011,No
198,2017,No
199,2020,No
200,2020,Yes
201,2019,No
202,2020,No
203,2013,No
204,2018,No
205,2013,No
206,2018,No
207,2019,No
208,2015,No
