"listed_title","duration"
"Executive time",297.50000000083
"Lunch",22
"Policy time",16.5
"Meeting with the chief of staff",13.25
"Depart Washington, DC en route Buenos Aires, Argentina",9.583333333
"Intelligence briefing",8
"Depart Washington, DC en route Orly, France",6.5
"Media engagement",6
"Meeting with chief of staff",6
"Lunch with the secretary of state",5
"Lunch with the vice president",5
"Depart Washington, DC en route McAllen, TX",4.166666667
"Pre-brief",3.25
"Meeting with presidential personnel",3.25
"Depart McAllen, TX en route Washington, DC",3.083333333
"Depart Washington, DC en route Kenner, LA",2.583333333
"Depart Washington, DC en route Kansas City, MO",2.583333333
"Meeting with legislative affairs",2.5
"Depart Washington, DC en route Palm Beach, FL",2.25
"Depart Washington, DC en route Tupelo, MS",2.166666667
"Depart New Oreans, LA en route Washington, DC",2.166666667
"Depart Gulfport, MS en route Washington, DC",2.166666667
"Depart Kansas City, MO en route Washington, DC",2.083333333
"Lunch with vice president",2
"Meeting with congressional leadership",2
"Remarks at Make America Great Again rally",2
"Meeting with the press secretary",2
"Video recording session",1.75
"Meeting with the secretary of state",1.75
"G20 Leaders\' dinner",1.75
"State funeral service of president George H.W. Bush",1.5
"Senior staff dinner",1.5
"Remarks at christmas reception",1.25
"Photos at United States secret service christmas reception",1.25
"Lunch with the Secreatry of Education",1
"Lunch with secretray of state and secretary of defense",1
"Lunch with members of congress",1
"Lunch with the governor of new york state",1
"Depart Tupelo, MS en route Gulfport, MS",1
"Senate Republican policy lunch",1
"Meeting with Senate Republican Leadership",1
"Media lunch",1
"Remarks at Hanukkah reception",1
"Visit to Marine Barracks Washington, DC",1
"Meeting with the problem solvers caucus",1
"National Christmas tree lighting ceremony",1
"Photos at residence christmas reception",1
"Border security briefing for congressional leadership",1
"Cabinet meeting",1
"lunch",1
